pair_id,trial,bpm,phase,beat,beat_time_s,p1_tap_s,p2_tap_s,async_p1_ms,async_p2_ms,diff1,diff2,loop
11,1,90,metronome,1,359.1783,,,,,0.0,0,1
11,1,90,metronome,2,359.845,,,,,0.0,0,1
11,1,90,metronome,3,360.5116,360.4984,,-13.17,,0.0,0,1
11,1,90,metronome,4,361.1783,361.1559,361.2194,-22.37,41.08,0.0,0,1
11,1,90,metronome,5,361.845,361.7924,361.7825,-52.55,-62.49,0.0,0,1
11,1,90,metronome,6,362.5116,362.406,362.3353,-105.61,-176.28,0.0,0,1
11,1,90,metronome,7,363.1783,363.0594,362.9989,-118.87,-179.37,0.0,0,1
11,1,90,metronome,8,363.845,363.7368,363.7399,-108.12,-105.02,0.0,0,1
11,1,90,metronome,9,364.5116,364.4118,364.398,-99.79,-113.67,0.0,0,1
11,1,90,metronome,10,365.1783,365.0636,365.0695,-114.67,-108.79,0.0,0,1
11,1,90,silence,11,365.845,365.7009,365.7089,-144.04,-136.01,0.0,0,1
11,1,90,silence,12,366.5116,366.3857,366.3475,-125.88,-164.09,0.0,0,1
11,1,90,silence,13,367.1783,367.0121,366.9941,-166.19,-184.23,0.0,0,1
11,1,90,silence,14,367.845,367.6678,367.6239,-177.19,-221.08,0.0,0,1
11,1,90,silence,15,368.5116,368.2106,368.251,-301.07,-260.66,0.0,0,1
11,1,90,silence,16,369.1783,369.4325,369.4284,254.21,250.08,0.0,0,1
11,1,90,silence,17,369.845,370.0285,370.0184,183.55,173.48,0.0,0,1
11,1,90,silence,18,370.5116,370.6005,370.6145,88.92,102.92,0.0,0,1
11,1,90,silence,19,371.1783,371.1618,371.2122,-16.46,33.87,0.0,0,1
11,1,90,silence,20,371.845,371.7323,371.7608,-112.7,-84.14,0.0,0,1
11,1,90,silence,21,372.5116,372.3388,372.3452,-172.85,-166.46,0.0,0,1
11,1,90,silence,22,373.1783,373.4678,372.9269,289.56,-251.42,0.0,0,1
11,1,90,silence,23,373.845,374.0458,374.0577,200.89,212.74,0.0,0,1
11,1,90,silence,24,374.5116,374.6359,374.652,124.32,140.41,0.0,0,1
11,1,90,silence,25,375.1783,375.205,375.2087,26.67,30.45,0.0,0,1
11,1,90,silence,26,375.845,375.794,375.8063,-50.94,-38.64,0.0,0,1
11,1,90,silence,27,376.5116,376.3842,376.387,-127.39,-124.62,0.0,0,1
