pair_id,trial,bpm,phase,beat,beat_time_s,p1_tap_s,p2_tap_s,async_p1_ms,async_p2_ms,diff1,diff2,loop
55,1,90,silence,64,409.4456,409.5993,409.6134,153.69,167.75,2.0,0,1
55,1,90,silence,65,410.1123,409.9852,410.003,-127.05,-109.25,2.0,0,1
55,1,90,silence,66,410.7789,410.801,410.8086,22.06,29.61,2.0,0,1
55,1,90,silence,67,411.4456,411.628,411.5884,182.38,142.75,2.0,0,1
55,1,90,silence,68,412.1123,412.0078,411.9817,-104.46,-130.59,2.0,0,1
55,1,90,silence,69,412.7789,412.767,412.7367,-11.94,-42.22,2.0,0,1
55,1,90,silence,70,413.4456,413.531,413.5086,85.35,63.03,2.0,0,1
55,2,120,metronome,1,426.2709,,,,,2.0,0,1
55,2,120,metronome,2,426.7709,426.9443,426.7509,173.34,-20.03,2.0,0,1
55,2,120,metronome,3,427.2709,427.3523,427.2001,81.43,-70.8,2.0,0,1
55,2,120,metronome,4,427.7709,427.8055,427.7059,34.55,-65.07,2.0,0,1
55,2,120,metronome,5,428.2709,428.2414,428.2028,-29.49,-68.13,2.0,0,1
55,2,120,metronome,6,428.7709,428.6936,428.6999,-77.3,-71.05,2.0,0,1
55,2,120,metronome,7,429.2709,429.1791,429.1849,-91.8,-86.0,2.0,0,1
55,2,120,metronome,8,429.7709,429.6948,429.6686,-76.14,-102.27,2.0,0,1
55,2,120,metronome,9,430.2709,430.1837,430.1438,-87.22,-127.16,2.0,0,1
55,2,120,metronome,10,430.7709,430.6765,430.6339,-94.39,-137.04,2.0,0,1
55,2,120,silence,11,431.2709,431.17,431.126,-100.89,-144.97,2.0,0,1
55,2,120,silence,12,431.7709,431.6426,431.5983,-128.35,-172.61,2.0,0,1
55,2,120,silence,13,432.2709,432.0774,432.0635,-193.53,-207.39,2.0,0,1
55,2,120,silence,14,432.7709,432.9506,432.9376,179.71,166.68,2.0,0,1
55,2,120,silence,15,433.2709,433.3737,433.3785,102.74,107.61,2.0,0,1
55,2,120,silence,16,433.7709,433.8023,433.7831,31.42,12.15,2.0,0,1
55,2,120,silence,17,434.2709,434.2289,434.2048,-42.01,-66.09,2.0,0,1
55,2,120,silence,18,434.7709,434.6314,434.6256,-139.48,-145.3,2.0,0,1
55,2,120,silence,19,435.2709,435.4472,435.4276,176.33,156.72,2.0,0,1
55,2,120,silence,20,435.7709,435.8238,435.8266,52.93,55.73,2.0,0,1
55,2,120,silence,21,436.2709,436.2668,436.1959,-4.13,-75.01,2.0,0,1
55,2,120,silence,22,436.7709,436.6173,436.6208,-153.61,-150.15,2.0,0,1
55,2,120,silence,23,437.2709,437.4082,437.3921,137.3,121.18,2.0,0,1
55,2,120,silence,24,437.7709,437.8025,437.7629,31.58,-8.03,2.0,0,1
55,2,120,silence,25,438.2709,438.1737,438.1536,-97.26,-117.34,2.0,0,1
55,2,120,silence,26,438.7709,438.9367,438.9319,165.78,160.96,2.0,0,1
55,2,120,silence,27,439.2709,439.3133,439.289,42.42,18.12,2.0,0,1
55,2,120,silence,28,439.7709,439.6839,439.6501,-87.01,-120.77,2.0,0,1
55,2,120,silence,29,440.2709,440.4195,440.379,148.56,108.12,2.0,0,1
55,2,120,silence,30,440.7709,440.7627,440.739,-8.21,-31.88,2.0,0,1
55,2,120,silence,31,441.2709,441.1203,441.0866,-150.58,-184.27,2.0,0,1
55,2,120,silence,32,441.7709,441.8301,441.7956,59.18,24.67,2.0,0,1
55,2,120,silence,33,442.2709,442.1317,442.1967,-139.22,-74.18,2.0,0,1
55,2,120,silence,34,442.7709,442.8756,442.8832,104.68,112.31,2.0,0,1
55,2,120,silence,35,443.2709,443.2584,443.1896,-12.5,-81.32,2.0,0,1
55,2,120,silence,36,443.7709,443.9551,443.9349,184.2,163.99,2.0,0,1
55,2,120,silence,37,444.2709,444.3056,444.2694,34.68,-1.49,2.0,0,1
55,2,120,silence,38,444.7709,444.6276,444.6137,-143.27,-157.19,2.0,0,1
55,2,120,silence,39,445.2709,445.2949,445.3025,24.03,31.59,2.0,0,1
55,2,120,silence,40,445.7709,445.6604,445.6464,-110.49,-124.54,2.0,0,1
55,2,120,silence,41,446.2709,446.3208,446.3318,49.83,60.9,2.0,0,1
55,2,120,silence,42,446.7709,446.6591,446.6451,-111.85,-125.82,2.0,0,1
55,2,120,silence,43,447.2709,447.3513,447.315,80.34,44.1,2.0,0,1
55,2,120,silence,44,447.7709,447.6723,447.6563,-98.6,-114.58,2.0,0,1
55,2,120,silence,45,448.2709,448.3465,448.3243,75.54,53.34,2.0,0,1
55,2,120,silence,46,448.7709,448.6835,448.658,-87.43,-112.91,2.0,0,1
55,2,120,silence,47,449.2709,449.3308,449.31,59.84,39.08,2.0,0,1
55,2,120,silence,48,449.7709,449.6951,449.6485,-75.84,-122.47,2.0,0,1
55,2,120,silence,49,450.2709,450.3681,450.3471,97.17,76.15,2.0,0,1
55,2,120,silence,50,450.7709,450.6945,450.6889,-76.46,-82.04,2.0,0,1
55,2,120,silence,51,451.2709,451.3596,451.3751,88.65,104.17,2.0,0,1
55,2,120,silence,52,451.7709,451.7044,451.7006,-66.5,-70.34,2.0,0,1
55,2,120,silence,53,452.2709,452.388,452.4024,117.08,131.52,2.0,0,1
55,2,120,silence,54,452.7709,452.7319,452.7177,-39.03,-53.21,2.0,0,1
55,2,120,silence,55,453.2709,453.4125,453.3791,141.59,108.22,2.0,0,1
55,2,120,silence,56,453.7709,453.7346,453.7138,-36.34,-57.15,2.0,0,1
55,2,120,silence,57,454.2709,454.4134,454.3958,142.49,124.9,2.0,0,1
55,2,120,silence,58,454.7709,454.7555,454.7218,-15.37,-49.08,2.0,0,1
55,2,120,silence,59,455.2709,455.3921,455.4059,121.19,134.99,2.0,0,1
55,2,120,silence,60,455.7709,455.7338,455.7378,-37.09,-33.11,2.0,0,1
55,2,120,silence,61,456.2709,456.4105,456.3838,139.53,112.91,2.0,0,1
55,2,120,silence,62,456.7709,456.7221,456.7021,-48.83,-68.77,2.0,0,1
55,2,120,silence,63,457.2709,457.3747,457.3829,103.75,111.95,2.0,0,1
55,2,120,silence,64,457.7709,457.7227,457.7401,-48.19,-30.85,2.0,0,1
55,2,120,silence,65,458.2709,458.4454,458.3959,174.48,124.93,2.0,0,1
55,2,120,silence,66,458.7709,458.7605,458.738,-10.42,-32.91,2.0,0,1
55,2,120,silence,67,459.2709,459.4261,459.4143,155.14,143.4,2.0,0,1
55,2,120,silence,68,459.7709,459.7735,459.7496,2.62,-21.31,2.0,0,1
55,2,120,silence,69,460.2709,460.4455,460.4426,174.54,171.7,2.0,0,1
55,2,120,silence,70,460.7709,460.7845,460.7737,13.56,2.76,2.0,0,1
55,3,150,metronome,1,470.6883,,470.8456,,157.34,2.0,0,1
55,3,150,metronome,2,471.0883,470.9543,471.184,-133.92,95.72,2.0,0,1
55,3,150,metronome,3,471.4883,471.3368,471.5251,-151.42,36.88,2.0,0,1
55,3,150,metronome,4,471.8883,471.9957,471.8822,107.46,-6.06,2.0,0,1
55,3,150,metronome,5,472.2883,472.3331,472.2706,44.81,-17.62,2.0,0,1
55,3,150,metronome,6,472.6883,472.6763,472.6468,-11.97,-41.47,2.0,0,1
55,3,150,metronome,7,473.0883,473.0533,473.0066,-34.95,-81.66,2.0,0,1
55,3,150,metronome,8,473.4883,473.4096,473.3837,-78.7,-104.53,2.0,0,1
55,3,150,metronome,9,473.8883,473.792,473.7895,-96.24,-98.71,2.0,0,1
55,3,150,metronome,10,474.2883,474.1734,474.1535,-114.89,-134.74,2.0,0,1
55,3,150,silence,11,474.6883,474.5441,474.5494,-144.16,-138.82,2.0,0,1
55,3,150,silence,12,475.0883,474.9193,474.9351,-168.99,-153.16,2.0,0,1
55,3,150,silence,13,475.4883,475.6624,475.6244,174.11,136.12,2.0,0,1
