pair_id,trial,bpm,phase,beat,beat_time_s,p1_tap_s,p2_tap_s,async_p1_ms,async_p2_ms,diff1,diff2,loop
22,1,90,metronome,1,470.4307,,,,,-3.0,0,1
22,1,90,metronome,2,471.0974,471.3523,470.8476,254.95,-249.79,-3.0,0,1
22,1,90,metronome,3,471.764,471.7091,471.8578,-54.96,93.74,-3.0,0,1
22,1,90,metronome,4,472.4307,472.4117,472.3033,-18.99,-127.43,-3.0,0,1
22,1,90,metronome,5,473.0974,472.9505,472.9304,-146.9,-166.94,-3.0,0,1
22,1,90,metronome,6,473.764,473.5702,473.5799,-193.8,-184.16,-3.0,0,1
22,1,90,metronome,7,474.4307,474.2337,474.1715,-197.05,-259.25,-3.0,0,1
22,1,90,metronome,8,475.0974,474.8854,474.839,-212.03,-258.4,-3.0,0,1
22,1,90,metronome,9,475.764,475.5141,475.4765,-249.96,-287.54,-3.0,0,1
22,1,90,metronome,10,476.4307,476.1484,476.1522,-282.32,-278.51,-3.0,0,1
22,1,90,silence,11,477.0974,476.8077,477.3056,-289.66,208.18,-3.0,0,1
22,1,90,silence,12,477.764,477.5572,,-206.88,,-3.0,0,1
22,1,90,silence,13,478.4307,478.2095,478.1052,-221.23,-325.5,-3.0,0,1
22,1,90,silence,14,479.0974,479.3978,479.3579,300.4,260.55,-3.0,0,1
22,1,90,silence,15,479.764,479.9901,479.9722,226.08,208.13,-3.0,0,1
22,1,90,silence,16,480.4307,480.6005,480.5885,169.76,157.76,-3.0,0,1
22,1,90,silence,17,481.0974,481.2097,481.2322,112.36,134.84,-3.0,0,1
22,1,90,silence,18,481.764,481.8493,481.7687,85.25,4.67,-3.0,0,1
22,1,90,silence,19,482.4307,482.3946,482.398,-36.1,-32.73,-3.0,0,1
22,1,90,silence,20,483.0974,482.9914,482.9852,-106.03,-112.19,-3.0,0,1
22,1,90,silence,21,483.764,483.5865,483.5352,-177.53,-228.83,-3.0,0,1
22,1,90,silence,22,484.4307,484.6811,484.6613,250.36,230.62,-3.0,0,1
22,1,90,silence,23,485.0974,485.2182,485.2504,120.86,153.02,-3.0,0,1
